title,price,brand,seller
"Premium Yoga Mat - Non-Slip", "$29.99", "FitLife", "FitLife Store"
"Eco-Friendly Yoga Block", "$15.49", "EcoYoga", "EcoYoga Seller"
"Adjustable Yoga Strap", "$10.99", "YogaPro", "YogaPro Seller"
"Yoga Wheel for Stretching", "$34.99", "Wellness Co", "Wellness Store"
"Inflatable Yoga Ball", "$22.50", "GymTech", "GymTech Seller"
"Yoga Resistance Bands Set", "$19.99", "FlexFit", "FlexFit Seller"
"Yoga Towel with Pockets", "$12.99", "ZenTowel", "ZenTowel Seller"
"Professional Yoga Mat Carrying Bag", "$18.99", "CarryEasy", "CarryEasy Shop"
"Silicone Yoga Block Set - 2 pcs", "$20.99", "SiliconePro", "SiliconePro Store"
"Yoga DVD - Complete Beginner Series", "$14.99", "YogaTeach", "YogaTeach Store"
"High-Density Foam Roller", "$25.99", "RecoveryPro", "RecoveryPro Store"
"Portable Yoga Chair for Meditation", "$45.00", "MeditationSpace", "Meditation Space"
"Yoga Fitness Dice - Random Routine", "$16.49", "FitFun", "FitFun Shop"
"Yoga Essential Oil Set", "$23.99", "AromaSense", "AromaSense Seller"
"Luxury Cork Yoga Mat", "$49.99", "EcoMat", "EcoMat Store"
"Yoga Mat Cleaner Spray - 250ml", "$8.99", "CleanMat", "CleanMat Store"
"Chakra Balancing Yoga Set", "$59.99", "ZenBalance", "ZenBalance Shop"
"Yoga Ball with Pump", "$29.99", "ExerciseBall", "ExerciseBall Store"
"Yoga for Strength and Flexibility Book", "$19.99", "WellnessLibrary", "WellnessLibrary Store"
"Beginners Yoga Kit - Mat & Blocks", "$39.99", "StartYoga", "StartYoga Shop"
"Adjustable Yoga Wheel for All Levels", "$32.50", "FlexyFit", "FlexyFit Seller"
"Yoga Resistance Bands - 3 Pack", "$12.50", "PowerBand", "PowerBand Store"
"Zen Garden Yoga Set - Mat and Block", "$45.00", "ZenGarden", "ZenGarden Store"
"Yoga Workout Planner Journal", "$14.99", "PlanWell", "PlanWell Seller"
"Ultimate Yoga Retreat Package", "$150.00", "YogaEscape", "YogaEscape Shop"
"Personalized Yoga Mat with Name", "$39.99", "CustomMats", "CustomMats Store"
"Outdoor Yoga Mat - Weather Resistant", "$34.99", "Outdoorsy", "Outdoorsy Seller"
"Yoga for Kids - Fun Routine Book", "$12.99", "KidsYoga", "KidsYoga Store"
"Yoga Stretch Band with Handles", "$15.99", "StretchPro", "StretchPro Store"
"Yoga Scented Candles - Set of 4", "$24.99", "CalmHome", "CalmHome Seller"
